name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,instructions,name_in_persian,instructions_in_persian
3/4 Sit-Up,pull,beginner,compound,body only,abdominals,,strength,"Lie down on the floor and secure your feet. Your legs should be bent at the knees., Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position., Flex your hips and spine to raise your torso toward your knees., At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only Â¾ of the way down., Repeat for the recommended amount of repetitions.",دراز نشست ۳/۴,"روی زمین دراز بکشید و پاهایتان را محکم کنید. پاهایتان باید از زانو خم باشند. دست‌هایتان را پشت یا کنار سرتان قرار دهید. در حالی که کمرتان روی زمین است، شروع کنید. این حالت شروع شما خواهد بود. باسن و ستون فقرات خود را خم کنید تا تنه خود را به سمت زانوهایتان بالا بیاورید. در بالای انقباض، تنه شما باید عمود بر زمین باشد. حرکت را معکوس کنید و فقط ¾ مسیر را به سمت پایین بروید. این حرکت را به تعداد توصیه شده تکرار کنید."
90/90 Hamstring,push,beginner,,body only,hamstrings,calves,stretching,"Lie on your back, with one leg extended straight out., With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position., Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position., Repeat for 10-20 repetitions, and then switch to the other leg.",همسترینگ ۹۰/۹۰,"به پشت دراز بکشید، یک پا را صاف به سمت بیرون دراز کنید. با پای دیگر، لگن و زانو را تا ۹۰ درجه خم کنید. در صورت لزوم می‌توانید پای خود را با دست‌هایتان نگه دارید. این حالت شروع شما خواهد بود. پای خود را صاف به سمت هوا دراز کنید و در بالا مکث کوتاهی کنید. پا را به حالت شروع برگردانید. این حرکت را ۱۰ تا ۲۰ بار تکرار کنید و سپس به سراغ پای دیگر بروید."
Ab Crunch Machine,pull,intermediate,isolation,machine,abdominals,,strength,"Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position., At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet., After a second pause, slowly return to the starting position as you breathe in., Repeat the movement for the prescribed amount of repetitions.",دستگاه کرانچ شکم,"یک وزنه سبک انتخاب کنید و روی دستگاه شکم بنشینید، پاهایتان را زیر پدهای ارائه شده قرار دهید و دسته‌های بالایی را بگیرید. بازوهایتان باید با زاویه ۹۰ درجه خم شوند و عضلات سه سر بازویی را روی پدهای ارائه شده قرار دهید. این حالت شروع شما خواهد بود. همزمان، همزمان با کرانچ کردن بالاتنه، شروع به بلند کردن پاها کنید. هنگام انجام این حرکت نفس خود را بیرون دهید. نکته: حتماً از حرکتی آهسته و کنترل شده استفاده کنید. روی استفاده از عضلات شکم خود برای حرکت دادن وزنه تمرکز کنید و در عین حال پاها و ساق‌های خود را شل کنید. پس از یک ثانیه مکث، به آرامی در حالی که نفس می‌کشید به حالت شروع برگردید. حرکت را به تعداد تکرارهای تعیین شده تکرار کنید."
Ab Roller,pull,intermediate,compound,other,abdominals,shoulders,strength,"Hold the Ab Roller with both hands and kneel on the floor., Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position., Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement., After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.",غلتک شکم,"غلتک شکم را با هر دو دست بگیرید و روی زمین زانو بزنید. حالا غلتک شکم را جلوی خود روی زمین قرار دهید، طوری که روی دست‌ها و زانوهایتان باشید (مانند حالت شنا روی زانو). این حالت شروع شما خواهد بود. غلتک شکم را به آرامی و مستقیم به جلو بغلتانید و بدن خود را در حالت صاف قرار دهید. نکته: تا جایی که می‌توانید و بدون تماس بدن با زمین، پایین بروید. در این بخش از حرکت نفس بکشید. پس از مکثی در حالت کشیده، همزمان با بازدم، خود را به حالت شروع برگردانید. نکته: به آرامی حرکت کنید و عضلات شکم خود را همیشه سفت نگه دارید."
Adductor,static,intermediate,isolation,foam roll,adductors,,stretching,"Lie face down with one leg on a foam roll., Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated., While trying to relax the muscles if the inner thigh, roll over the foam between your hip and knee, holding points of tension for 10-30 seconds. Repeat with the other leg.",گیرنده,"به صورت دمر دراز بکشید و یک پا را روی فوم رول قرار دهید. پا را بچرخانید تا فوم رول با قسمت داخلی ران شما تماس پیدا کند. تا جایی که می‌توانید وزن خود را روی فوم رول منتقل کنید. در حالی که سعی می‌کنید عضلات قسمت داخلی ران را شل کنید، روی فوم بین لگن و زانوی خود بغلتید و نقاط تنش را به مدت ۱۰ تا ۳۰ ثانیه نگه دارید. این حرکت را با پای دیگر تکرار کنید."
Adductor/Groin,static,intermediate,,,adductors,,stretching,"Lie on your back with your feet raised towards the ceiling., Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position., Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so., Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.",عضله نزدیک کننده/کشاله ران,"به پشت دراز بکشید و پاهایتان را به سمت سقف بالا ببرید. از شریک زندگیتان بخواهید پاها یا مچ پاهایتان را نگه دارد. تا جایی که می‌توانید پاهایتان را از هم دور کنید. این حالت شروع شما خواهد بود. سعی کنید پاهایتان را به مدت 10 ثانیه یا بیشتر به هم فشار دهید، در حالی که شریک زندگیتان مانع از انجام این کار می‌شود. حالا، عضلات پاهایتان را شل کنید و شریک زندگیتان پاهایتان را از هم باز کند و تا جایی که برای شما راحت است، آنها را بکشید. حتماً به شریک زندگیتان اطلاع دهید که چه زمانی کشش کافی است تا از کشیدگی بیش از حد یا آسیب دیدگی جلوگیری شود."
Advanced Kettlebell Windmill,push,intermediate,isolation,kettlebells,abdominals,"glutes, hamstrings, shoulders",strength,"Clean and press a kettlebell overhead with one arm., Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell., Lower yourself as far as possible., Pause for a second and reverse the motion back to the starting position.",آسیاب بادی پیشرفته کتل‌بل,"با یک دست، کتل‌بل را بالای سر نگه دارید و پرس کنید. در حالی که کتل‌بل را همیشه قفل نگه داشته‌اید، باسن خود را در جهت کتل‌بل قفل شده به بیرون فشار دهید. دست غیرفعال را پشت سر خود نگه دارید و پاهای خود را با زاویه چهل و پنج درجه نسبت به دستی که کتل‌بل را نگه داشته‌اید، به بیرون بچرخانید. تا حد امکان خود را پایین بیاورید. یک ثانیه مکث کنید و حرکت را به حالت اولیه برگردانید."
Air Bike,pull,beginner,compound,body only,abdominals,,strength,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position., Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position., Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out., Go back to the initial position as you breathe in., Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale., Continue alternating in this manner until all of the recommended repetitions for each side have been completed.",دوچرخه هوایی,"روی زمین صاف دراز بکشید و کمرتان را به زمین فشار دهید. برای این تمرین، باید دستانتان را کنار سرتان قرار دهید. با این حال، مراقب باشید که هنگام انجام آن به گردنتان فشار نیاورید. حالا شانه‌هایتان را بالا بیاورید و در حالت کرانچ قرار بگیرید. زانوها را تا جایی که عمود بر زمین باشند بالا بیاورید، در حالی که ساق پاهایتان موازی با زمین است. این حالت شروع شما خواهد بود. حالا همزمان، به آرامی حرکت پدال دوچرخه را انجام دهید، با پای راست به جلو لگد بزنید و زانوی پای چپ را به داخل بیاورید. با کرانچ به پهلو، همزمان با بازدم، آرنج راست خود را به زانوی چپ خود نزدیک کنید. همزمان با دم به حالت اولیه برگردید. در حالی که پاهایتان را می‌چرخانید، به سمت مخالف کرانچ کنید و آرنج چپ خود را به زانوی راست خود نزدیک کنید و بازدم کنید. به این ترتیب به طور متناوب ادامه دهید تا تمام تکرارهای توصیه شده برای هر طرف انجام شود."
All Fours Quad Stretch,static,intermediate,,body only,quadriceps,quadriceps,stretching,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand., Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors., Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.",کشش چهار سر ران,"روی دست‌ها و زانوهایتان شروع کنید، سپس پایتان را از روی زمین بلند کنید و با دستتان پا را بگیرید. از دستتان برای نگه داشتن پا یا مچ پا استفاده کنید، زانو را کاملاً خم نگه دارید، عضلات چهارسر ران و خم کننده‌های لگن را بکشید. روی کشش لگن خود تمرکز کنید و آنها را به سمت زمین فشار دهید. 10 تا 20 ثانیه در این حالت بمانید و سپس جهت را عوض کنید."
Alternate Hammer Curl,pull,beginner,isolation,dumbbell,biceps,forearms,strength,"Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso., The palms of the hands should be facing your torso. This will be your starting position., While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move., Slowly begin to bring the dumbbells back to starting position as your breathe in., Repeat the movement with the left hand. This equals one repetition., Continue alternating in this manner for the recommended amount of repetitions.",جلو بازو چکشی متناوب,"بایستید و بالاتنه خود را صاف نگه دارید و در هر دست یک دمبل در امتداد بازوها نگه دارید. آرنج‌ها باید نزدیک به تنه باشند. کف دست‌ها باید رو به تنه باشند. این حالت شروع شما خواهد بود. در حالی که بازوی بالایی را ثابت نگه داشته‌اید، وزنه مناسب را به جلو خم کنید و همزمان با بازدم، عضلات دوسر بازو را منقبض کنید. حرکت را تا زمانی که عضلات دوسر بازو کاملاً منقبض شوند و دمبل‌ها در سطح شانه قرار گیرند، ادامه دهید. در حالی که عضلات دوسر بازو را منقبض می‌کنید، برای یک ثانیه در حالت انقباض بمانید. نکته: فقط ساعدها باید حرکت کنند. در حالی که نفس خود را به داخل می‌کشید، به آرامی دمبل‌ها را به حالت شروع برگردانید. حرکت را با دست چپ تکرار کنید. این معادل یک تکرار است. به همین ترتیب به تعداد تکرارهای توصیه شده ادامه دهید."
